title,artist,album
Here Comes the Sun,Abbey Road,Enjoy the Beatles!
Skeptics And True Believers (Album Version),The Academy Is,Almost Here
So Contagious,Acceptance,Phantoms
If I Had You,Adam Lambert,For Your Entertainment
He Won't Go,ADELE,21
Take It All,ADELE,21
I'll Be Waiting,ADELE,21
One And Only,ADELE,21
Rolling In The Deep,ADELE,21
Rumour Has It,ADELE,21
Turning Tables,ADELE,21
Don't You Remember,ADELE,21
Set Fire to the Rain,ADELE,21
You Oughta Know,Alanis Morissette,Jagged Little Pill
The Boy Does Nothing,Alesha Dixon,The Boy Does Nothing - Single
Weightless,All Time Low,Nothing Personal
Break Your Little Heart,All Time Low,Nothing Personal
Damned If I Do Ya (Damned If I Don't),All Time Low,Nothing Personal
Lost In Stereo,All Time Low,Nothing Personal
Stella,All Time Low,Nothing Personal
Sick Little Games,All Time Low,Nothing Personal
"Hello, Brooklyn",All Time Low,Nothing Personal
Walls,All Time Low,Nothing Personal
Too Much,All Time Low,Nothing Personal
"Keep The Change, You Filthy Animal",All Time Low,Nothing Personal
A Party Song (The Walk Of Shame),All Time Low,Nothing Personal
Therapy,All Time Low,Nothing Personal
Coffee Shop Soundtrack,All Time Low,Put Up or Shut Up
Lullabies,All Time Low,Put Up or Shut Up
Jasey Rae,All Time Low,Put Up or Shut Up
Running from Lions,All Time Low,Put Up or Shut Up
The Last Song,The All-American Rejects,The All-American Rejects
My Paper Heart,The All-American Rejects,The All-American Rejects
"Swing, Swing",The All-American Rejects,The All-American Rejects
Dirty Little Secret,The All-American Rejects,Move Along
It Ends Tonight,The All-American Rejects,Move Along
Move Along,The All-American Rejects,Move Along
The Last Song,All-American Rejects,"Why Did the Jack Say ""Yes?"""
The Chipmunk Song,Alvin and the Chipmunks,The Chipmunk Song
Joy To The World,Aly & AJ,Acoustic Hearts Of Winter
Deck The Halls,Aly & AJ,Acoustic Hearts of Winter
Let it Snow,Aly & Aj,Acoustic Hearts of Winter
The Break-Up Song,Aly & AJ,The Break-Up Song
Another Perfect Day,American Hi-Fi,American Hi-Fi
Flavor Of The Weak,American Hi-Fi,American Hi-Fi
The Art of Losing,American Hi-Fi,The Art of Losing
Summer Back,Andy Gibson,Summer Back - Single
It's The Most Wonderful Time of the Year,Andy Williams,It's The Most Wonderful Time - EP
Cups,Anna Kendrick,Pitch Perfect (Original Motion Picture Soundtrack)
Breathe (2 AM),Anna Nalick,Wreck of the Day
Paper Bag,Anna Nalick,Wreck of the Day
Wreck Of The Day,Anna Nalick,Wreck Of The Day
Bleed,Anna Nalick,Wreck of the Day
Catalyst,Anna Nalick,Wreck of the Day
Consider This,Anna Nalick,Wreck of the Day
I Say a Little Prayer,Aretha Franklin,Oldies But Goodies
We Wish You A Merry Christmas,Ashanti,We Wish You A Merry Christmas
Autobiography,Ashlee Simpson,Autobiography
Pieces Of Me,Ashlee Simpson,Autobiography
Shadow,Ashlee Simpson,Autobiography
La La,Ashlee Simpson,Autobiography
Love Makes The World Go Round,Ashlee Simpson,Autobiography
Better Off,Ashlee Simpson,Autobiography
Love Me For Me,Ashlee Simpson,Autobiography
Surrender,Ashlee Simpson,Autobiography
Unreachable,Ashlee Simpson,Autobiography
Nothing New,Ashlee Simpson,Autobiography
Giving It All Away,Ashlee Simpson,Autobiography
Undiscovered,Ashlee Simpson,Autobiography
Bittersweet World,Ashlee Simpson,Bittersweet World
Outta My Head (Ay Ya Ya),Ashlee Simpson,Bittersweet World
Little Miss Obsessive,Ashlee Simpson,Bittersweet World
Boyfriend,Ashlee Simpson,I Am Me
In Another Life,Ashlee Simpson,I Am Me
Beautifully Broken,Ashlee Simpson,I Am Me
L.O.V.E.,Ashlee Simpson,I Am Me
Coming Back for More,Ashlee Simpson,I Am Me
Dancing Alone,Ashlee Simpson,I Am Me
Burning Up,Ashlee Simpson,I Am Me
Catch Me When I Fall,Ashlee Simpson,I Am Me
I Am Me,Ashlee Simpson,I Am Me
Eyes Wide Open,Ashlee Simpson,I Am Me
Say Goodbye,Ashlee Simpson,I Am Me
Invisible,Ashlee Simpson,Invisible - Single
Hot Mess,Ashley Tisdale,Guilty Pleasure
How Do You Love Someone,Ashley Tisdale,Guilty Pleasure
Tell Me Lies,Ashley Tisdale,Guilty Pleasure
What If,Ashley Tisdale,Guilty Pleasure
Erase and Rewind,Ashley Tisdale,Guilty Pleasure
Hair,Ashley Tisdale,Guilty Pleasure
Delete You,Ashley Tisdale,Guilty Pleasure
Me Without You,Ashley Tisdale,Guilty Pleasure
Crank It Up,Ashley Tisdale,Guilty Pleasure
Switch,Ashley Tisdale,Guilty Pleasure
"It's Alright, It's OK (Remix)",Ashley Tisdale,Guilty Pleasure
Time's Up,Ashley Tisdale,Guilty Pleasure
Blame It On the Beat,Ashley Tisdale,Guilty Pleasure
"It's Alright, OK",Ashley Tisdale,Guilty Pleasure
Acting Out,Ashley Tisdale,Guilty Pleasure
Masquerade,Ashley Tisdale,Guilty Pleasure
Overrated,Ashley Tisdale,Guilty Pleasure
"It's Alright, It's OK",Ashley Tisdale,"It's Alright, It's OK - Single"
Masquerade,Ashley Tisdale,Masquerade - Single
The Boys of Summer,The Ataris,"So Long, Astoria"
In This Diary,The Ataris,"So Long, Astoria"
The Tide is High,Atomic Kitten,The Tide is High
Here's To Never Growing Up,Avril Lavigne,Here's to Never Growing Up
My Happy Ending,Avril Lavigne,Hits Incredible
Losing Grip,Avril Lavigne,Let Go
Complicated,Avril Lavigne,Let Go
Sk8er Boi,Avril Lavigne,Let Go
I'm With You,Avril Lavigne,Let Go
Anything But Ordinary,Avril Lavigne,Let Go
Things I'll Never Say,Avril Lavigne,Let Go
My World,Avril Lavigne,Let Go
Nobody's Fool,Avril Lavigne,Let Go
Magic,B.o.B.,Magic - Single
I Want It That Way,Backstreet Boys,Millennium
I Want It That Way,Backstreet Boys,"Why Did the Jack Say ""Yes?"""
Postcard From Paris,The Band Perry,The Band Perry
Better Dig Two,The Band Perry,Pioneer
Done.,The Band Perry,Pioneer
Bella's Finals (Price Tag/Don't You Forget About Me/Give Me Everything),The Barden Bellas,Pitch Perfect (Original Motion Picture Soundtrack)
